Nom du site;Adresse;Code postal;Code Site;Nombre de bornes;Etat du site;geo_shape;geo_point_2d
BIBLIOTHEQUE OSCAR WILDE;12 RUE DU TELEGRAPHE;75020;PW0061;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.399816293218798, 48.87202610578211]}";48.8720261058,2.39981629322
SQUARE BELLEVILLE;45-47 RUE DES COURONNES;75020;PW0204;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.384806632308035, 48.8703088766318]}";48.8703088766,2.38480663231
GYMNASE PAUL MEURICE;1 RUE PAUL MEURICE;75020;PW0085;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.412137679731794, 48.874026500733024]}";48.8740265007,2.41213767973
CENTRE SPORTIF ALFRED NAKACHE;4/12 RUE DENOYEZ;75020;PW0071;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.378677035345246, 48.8714830647833]}";48.8714830648,2.37867703535
MAIRIE DU 20 EME;6 PLACE GAMBETTA;75020;PW0018;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.3989977002640392, 48.865091139066706]}";48.8650911391,2.39899770026
JARDIN GARE DE CHARONNE;59 BOULEVARD DAVOUT;75020;PW0055;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.4105606441583802, 48.852312152208874]}";48.8523121522,2.41056064416
PREFOURRIERE POUCHET 2;1BIS BOULEVARD DU GENERAL LECLERC CLICHY SUR SEINE;92100;PW0226;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.318364974914637, 48.89969692625086]}";48.8996969263,2.31836497491
FOURRIERE LA COURNEUVE;92 RUE MERMOZ LA COURNEUVE;93120;;1;En étude;"{""type"": ""Point"", ""coordinates"": [2.408745633623746, 48.93254696974426]}";48.9325469697,2.40874563362
FOURRIERE BONNEUIL 2;AVENUE DE BOISSY RN19 BONNEUIL SUR MARNE;94380;;1;En étude;"{""type"": ""Point"", ""coordinates"": [2.497106036967046, 48.76118248172808]}";48.7611824817,2.49710603697
FOURRIERE BONNEUIL;11 RUE DES CHAMPS BONNEUIL SUR MARNE;94380;;1;En étude;"{""type"": ""Point"", ""coordinates"": [2.499478391866005, 48.76286105418927]}";48.7628610542,2.49947839187
